time,freq,dur,vel,name
15.04,622.25,0.244,0.43,D#5
15.121,155.56,0.197,0.29,D#3
15.33,155.56,0.269,0.47,D#3
15.33,466.16,0.21,0.33,A#4
15.33,698.46,0.291,0.46,F5
15.471,622.25,0.151,0.56,D#5
15.623,698.46,0.174,0.55,F5
15.669,49.0,1.056,0.47,G1
15.704,98.0,1.045,0.44,G2
15.761,622.25,0.197,0.5,D#5
15.924,146.83,0.859,0.48,D3
16.203,196.0,0.546,0.49,G3
16.203,587.33,0.255,0.47,D5
16.203,1046.5,0.244,0.45,C6
16.782,65.41,1.093,0.6,C2
16.782,130.81,0.604,0.45,C3
16.795,783.99,0.081,0.31,G5
16.795,1046.5,0.279,0.54,C6
17.108,155.56,0.57,0.59,D#3
17.236,932.33,0.199,0.51,A#5
17.27,466.16,0.175,0.3,A#4
17.386,783.99,0.245,0.39,G5
17.386,1046.5,0.199,0.48,C6
17.399,196.0,0.512,0.42,G3
17.411,523.25,0.267,0.37,C5
17.679,155.56,0.301,0.56,D#3
17.818,466.16,0.081,0.36,A#4
17.818,932.33,0.139,0.52,A#5
17.829,130.81,0.127,0.35,C3
17.969,783.99,0.244,0.43,G5
17.969,1046.5,0.279,0.56,C6
17.98,155.56,1.021,0.35,D#3
18.0,77.78,0.9,0.51,D#2
18.154,116.54,0.105,0.33,A#2
18.259,783.99,0.127,0.35,G5
18.259,932.33,0.395,0.46,A#5
18.27,116.54,0.894,0.56,A#2
18.851,392.0,0.267,0.49,G4
18.863,196.0,0.29,0.53,G3
19.001,349.23,0.174,0.44,F4
19.153,311.13,0.269,0.37,D#4
19.164,103.83,0.873,0.53,G#2
19.164,207.65,0.616,0.38,G#3
19.164,261.63,0.431,0.61,C4
0.395,261.63,0.29,0.52,C4
0.395,311.13,0.29,0.42,D#4
0.395,415.3,0.116,0.39,G#4
0.685,207.65,0.151,0.29,G#3
0.685,261.63,0.371,0.62,C4
0.685,311.13,0.198,0.48,D#4
0.685,415.3,0.163,0.49,G#4
0.836,103.83,0.301,0.56,G#2
0.836,207.65,0.233,0.34,G#3
1.126,196.0,0.128,0.32,G3
1.126,246.94,0.452,0.61,B3
1.126,293.66,0.105,0.39,D4
1.126,392.0,0.441,0.33,G4
1.137,98.0,0.859,0.56,G2
1.359,293.66,0.197,0.3,D4
1.567,293.66,0.244,0.48,D4
1.579,196.0,0.371,0.36,G3
1.579,246.94,0.279,0.54,B3
1.579,392.0,0.163,0.48,G4
2.009,130.81,1.035,0.66,C3
2.009,261.63,0.21,0.38,C4
2.02,311.13,0.57,0.64,D#4
2.591,261.63,0.453,0.46,C4
2.591,311.13,0.453,0.64,D#4
2.591,392.0,0.453,0.38,G4
3.044,130.81,0.151,0.57,C3
3.044,261.63,0.162,0.59,C4
3.044,311.13,0.371,0.63,D#4
3.044,392.0,0.186,0.5,G4
3.194,130.81,0.29,0.69,C3
3.472,116.54,0.139,0.32,A#2
3.472,233.08,0.604,0.61,A#3
3.472,277.18,0.569,0.39,C#4
3.485,138.59,0.593,0.66,C#3
3.485,349.23,0.534,0.42,F4
3.542,69.3,0.36,0.37,C#2
4.065,155.56,0.594,0.64,D#3
4.065,311.13,0.594,0.51,D#4
4.065,466.16,0.07,0.32,A#4
4.076,233.08,0.581,0.62,A#3
4.076,392.0,0.547,0.63,G4
4.089,77.78,0.547,0.45,D#2
4.659,103.83,0.882,0.53,G#2
4.659,207.65,0.65,0.38,G#3
4.659,261.63,0.441,0.65,C4
4.659,311.13,0.301,0.38,D#4
4.659,415.3,0.267,0.37,G#4
5.1,261.63,0.301,0.61,C4
5.1,311.13,0.301,0.46,D#4
5.1,415.3,0.29,0.35,G#4
5.39,415.3,0.174,0.51,G#4
5.401,261.63,0.384,0.65,C4
5.401,311.13,0.22,0.54,D#4
5.541,103.83,0.301,0.58,G#2
5.541,207.65,0.244,0.35,G#3
5.831,246.94,0.442,0.68,B3
5.831,293.66,0.105,0.39,D4
5.842,98.0,0.86,0.57,G2
5.842,196.0,0.373,0.33,G3
5.842,392.0,0.431,0.37,G4
6.064,293.66,0.199,0.3,D4
6.274,196.0,0.384,0.35,G3
6.274,246.94,0.29,0.57,B3
6.274,293.66,0.233,0.5,D4
6.274,392.0,0.163,0.48,G4
6.715,130.81,0.593,0.69,C3
6.715,261.63,0.22,0.39,C4
6.726,311.13,0.58,0.63,D#4
7.144,261.63,0.151,0.3,C4
7.306,130.81,0.267,0.58,C3
7.306,261.63,0.441,0.45,C4
7.306,311.13,0.441,0.59,D#4
7.306,392.0,0.279,0.43,G4
7.597,123.47,0.57,0.7,B2
7.747,261.63,0.371,0.63,C4
7.747,311.13,0.407,0.55,D#4
7.747,392.0,0.29,0.45,G4
8.179,116.54,0.615,0.69,A#2
8.179,233.08,0.604,0.46,A#3
8.19,277.18,0.557,0.59,C#4
8.771,311.13,0.593,0.59,D#4
8.783,233.08,0.557,0.57,A#3
8.794,110.0,0.569,0.69,A2
8.794,392.0,0.534,0.6,G4
9.2,77.78,0.081,0.33,D#2
9.351,207.65,0.755,0.38,G#3
9.363,103.83,0.884,0.53,G#2
9.363,261.63,0.453,0.65,C4
9.363,311.13,0.453,0.35,D#4
9.363,415.3,0.232,0.35,G#4
9.804,415.3,0.139,0.42,G#4
9.816,261.63,0.29,0.62,C4
9.816,311.13,0.29,0.4,D#4
10.106,207.65,0.14,0.34,G#3
10.106,261.63,0.373,0.64,C4
10.106,311.13,0.188,0.49,D#4
10.106,415.3,0.164,0.55,G#4
10.246,103.83,0.301,0.57,G#2
10.246,207.65,0.255,0.35,G#3
10.538,196.0,0.371,0.35,G3
10.538,246.94,0.441,0.64,B3
10.538,293.66,0.441,0.34,D4
10.538,392.0,0.441,0.39,G4
10.549,98.0,0.859,0.56,G2
10.979,196.0,0.384,0.38,G3
10.979,246.94,0.301,0.57,B3
10.979,293.66,0.255,0.5,D4
10.979,392.0,0.162,0.49,G4
11.431,130.81,1.022,0.66,C3
11.431,261.63,0.186,0.34,C4
11.431,311.13,0.58,0.64,D#4
12.011,261.63,0.431,0.47,C4
12.011,311.13,0.442,0.65,D#4
12.023,392.0,0.419,0.34,G4
12.443,261.63,0.162,0.6,C4
12.443,392.0,0.197,0.5,G4
12.454,130.81,0.139,0.55,C3
12.454,311.13,0.384,0.61,D#4
12.594,130.81,0.301,0.65,C3
12.895,116.54,0.116,0.31,A#2
12.895,138.59,0.58,0.66,C#3
12.895,233.08,0.593,0.63,A#3
12.895,277.18,0.569,0.4,C#4
